;name;engine_power;max_spped;vehicle_transmission;model_date_begin;model_date_end;series;acceleration_time_to_100_km_h;dimensions_height;payload;dimensions_length;number_of_cylinders;wheelbase;curb_weight;dimensions_width;;;
186;120d;177;228;MT;2007;2012;1ER;7.5;1421;500;4239;4;2660;1365;1748;;;
187;123d;204;238;MT;2007;2012;1ER;6.9;1421;500;4239;4;2660;1410;1748;;;
188;130i;265;250;AT;2007;2012;1ER;6.2;1421;500;4239;6;2660;1475;1748;;;
189;130i;258;250;AT;2007;2012;1ER;6.2;1421;500;4239;6;2660;1400;1748;;;
190;130i;265;250;AT;2007;2012;1ER;6.2;1421;500;4239;6;2660;1400;1748;;;
191;130i;265;250;MT;2007;2012;1ER;6.0;1421;500;4239;6;2660;1375;1748;;;
192;130i;258;250;MT;2007;2012;1ER;6.0;1421;500;4239;6;2660;1375;1748;;;
193;130i;265;250;MT;2007;2012;1ER;6.0;1421;500;4239;6;2660;1450;1748;;;
194;116i;115;197;AT;2007;2012;1ER;12.3;1421;500;4239;4;2660;1345;1748;;;
195;116i;122;202;AT;2007;2012;1ER;11.2;1421;500;4239;4;2660;1290;1748;;;
196;116i;115;200;MT;2007;2012;1ER;10.9;1421;500;4239;4;2660;1320;1748;;;
197;116i;122;204;MT;2007;2012;1ER;10.2;1421;500;4239;4;2660;1265;1748;;;
198;123d;204;236;AT;2007;2012;1ER;7.1;1421;500;4239;4;2660;1420;1748;;;
199;118d;143;210;AT;2007;2012;1ER;9.1;1421;510;4239;4;2660;1345;1748;;;
200;123d;204;236;AT;2007;2012;1ER;7.1;1421;500;4239;4;2660;1495;1748;;;
201;120d;177;226;AT;2007;2012;1ER;7.8;1421;500;4239;4;2660;1380;1748;;;
202;116i;122;202;AT;2007;2012;1ER;10.8;1421;500;4239;4;2660;1300;1748;;;
203;118i;143;210;AT;2007;2012;1ER;9.3;1421;500;4239;4;2660;1300;1748;;;
204;120i;170;222;AT;2007;2012;1ER;8.4;1421;500;4239;4;2660;1320;1748;;;
205;118i;143;210;AT;2007;2012;1ER;9.3;1421;500;4239;4;2660;1300;1748;;;
